BOLD_ID,Phylum,Class,Order,Family,Genus,Species
BOLD:ADC6589,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole biconstricta
BOLD:ADC6909,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera trachypyx_borealisgp
BOLD:ADC7076,Arthropoda,Insecta,Hymenoptera,Formicidae,Pachycondyla,Pachycondyla harpax
BOLD:ADC7133,Arthropoda,Insecta,Lepidoptera,Geometridae,Lophorrhachia,Lophorrhachia rubricorpus
BOLD:ADC7157,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera kaksp2_auratagp
BOLD:ADC7159,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera trachypyx_borealisgp
BOLD:ADC7249,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia longistyla
BOLD:ADC7566,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera trachypyx_borealisgp
BOLD:ADC7597,Arthropoda,Insecta,Lepidoptera,Pieridae,,Eurema hecabe
BOLD:ADC7740,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cephetola,Cephetola maculata
BOLD:ADC7998,Arthropoda,Insecta,Lepidoptera,Cossidae,Dyspessa,Dyspessa ulula
BOLD:ADC8157,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Plateumaris,Plateumaris sericea
BOLD:ADC8361,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia longistyla
BOLD:ADC8917,Arthropoda,Insecta,Hymenoptera,Formicidae,Wasmannia,Wasmannia auropunctata
BOLD:ADC8994,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera kaksp2_auratagp
BOLD:ADC9048,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia longistyla
BOLD:ADC9049,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Ablabesmyia longistyla
BOLD:ADC9082,Arthropoda,Insecta,Diptera,Stratiomyidae,Hermetia,Hermetia illucens
BOLD:ADC9377,Arthropoda,Insecta,Coleoptera,Mordellidae,Mordellina,Mordellina ancilla
BOLD:ADC9462,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium tani
BOLD:ADC9463,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium tani
BOLD:ADC9520,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium tani
BOLD:ADC9738,Arthropoda,Insecta,Coleoptera,Mordellidae,Mordellina,Mordellina ancilla
BOLD:ADD0568,Arthropoda,Insecta,Hymenoptera,Pamphiliidae,Cephalcia,Cephalcia arvensis
BOLD:ADD1479,Arthropoda,Insecta,Lepidoptera,Coleophoridae,Coleophora,Coleophora dianthi
BOLD:ADD1750,Arthropoda,Insecta,Lepidoptera,Geometridae,Prasinocyma,Prasinocyma AH03
BOLD:ADD2152,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Maconellicoccus,Maconellicoccus hirsutus
BOLD:ADD2345,Arthropoda,Insecta,Hymenoptera,Bethylidae,Bethylus,Bethylus fuscicornis
BOLD:ADD2613,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Maconellicoccus,Maconellicoccus hirsutus
BOLD:ADD2992,Arthropoda,Insecta,Coleoptera,Curculionidae,Xyleborus,Xyleborus ferrugineus
BOLD:ADD3217,Arthropoda,Insecta,Hymenoptera,Bethylidae,Bethylus,Bethylus fuscicornis
BOLD:ADD3235,Arthropoda,Insecta,Thysanoptera,Thripidae,Aptinothrips,Aptinothrips stylifer
BOLD:ADD3376,Arthropoda,Insecta,Hymenoptera,Bethylidae,Bethylus,Bethylus fuscicornis
BOLD:ADD3831,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Maconellicoccus,Maconellicoccus hirsutus
BOLD:ADD4418,Arthropoda,Insecta,Diptera,Sciaridae,Bradysia,Bradysia trivittata
BOLD:ADD4658,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Icaricia,Icaricia icarioides
BOLD:ADD6519,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pelochrista,Pelochrista morrisoni
BOLD:ADD7209,Arthropoda,Insecta,Diptera,Chironomidae,Gymnometriocnemus,Gymnometriocnemus brumalis
